2026/07/15 20:56:00.827, 0, 805 MiB, 39636 MiB, 11 %
2026/07/15 20:56:00.830, 1, 805 MiB, 39636 MiB, 14 %
2026/07/15 20:56:01.834, 0, 805 MiB, 39636 MiB, 0 %
2026/07/15 20:56:01.834, 1, 16767 MiB, 23674 MiB, 27 %
2026/07/15 20:56:02.834, 0, 12461 MiB, 27980 MiB, 25 %
2026/07/15 20:56:02.835, 1, 16789 MiB, 23652 MiB, 100 %
2026/07/15 20:56:03.835, 0, 19683 MiB, 20758 MiB, 88 %
2026/07/15 20:56:03.835, 1, 21671 MiB, 18770 MiB, 94 %
2026/07/15 20:56:04.835, 0, 22463 MiB, 17978 MiB, 90 %
2026/07/15 20:56:04.835, 1, 23327 MiB, 17114 MiB, 95 %
2026/07/15 20:56:05.836, 0, 23153 MiB, 17288 MiB, 74 %
2026/07/15 20:56:05.836, 1, 23327 MiB, 17114 MiB, 98 %
2026/07/15 20:56:06.836, 0, 23153 MiB, 17288 MiB, 95 %
2026/07/15 20:56:06.836, 1, 26085 MiB, 14356 MiB, 96 %
2026/07/15 20:56:07.836, 0, 24513 MiB, 15928 MiB, 80 %
2026/07/15 20:56:07.837, 1, 26085 MiB, 14356 MiB, 95 %
2026/07/15 20:56:08.837, 0, 24513 MiB, 15928 MiB, 58 %
2026/07/15 20:56:08.837, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:56:09.837, 0, 24513 MiB, 15928 MiB, 90 %
2026/07/15 20:56:09.837, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:56:10.838, 0, 24513 MiB, 15928 MiB, 69 %
2026/07/15 20:56:10.838, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:56:11.838, 0, 25953 MiB, 14488 MiB, 69 %
2026/07/15 20:56:11.838, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:56:12.838, 0, 25953 MiB, 14488 MiB, 64 %
2026/07/15 20:56:12.839, 1, 27535 MiB, 12906 MiB, 91 %
2026/07/15 20:56:13.839, 0, 25953 MiB, 14488 MiB, 97 %
2026/07/15 20:56:13.839, 1, 27535 MiB, 12906 MiB, 94 %
2026/07/15 20:56:14.839, 0, 25953 MiB, 14488 MiB, 81 %
2026/07/15 20:56:14.839, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:56:15.839, 0, 25955 MiB, 14486 MiB, 82 %
2026/07/15 20:56:15.840, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:56:16.840, 0, 25955 MiB, 14486 MiB, 65 %
2026/07/15 20:56:16.840, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:56:17.840, 0, 25955 MiB, 14486 MiB, 67 %
2026/07/15 20:56:17.840, 1, 27535 MiB, 12906 MiB, 89 %
2026/07/15 20:56:18.841, 0, 25955 MiB, 14486 MiB, 76 %
2026/07/15 20:56:18.841, 1, 27535 MiB, 12906 MiB, 94 %
2026/07/15 20:56:19.841, 0, 25955 MiB, 14486 MiB, 86 %
2026/07/15 20:56:19.841, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:56:20.842, 0, 25955 MiB, 14486 MiB, 69 %
2026/07/15 20:56:20.842, 1, 27535 MiB, 12906 MiB, 92 %
2026/07/15 20:56:21.842, 0, 25955 MiB, 14486 MiB, 93 %
2026/07/15 20:56:21.842, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:56:22.842, 0, 25955 MiB, 14486 MiB, 88 %
2026/07/15 20:56:22.843, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:56:23.843, 0, 25955 MiB, 14486 MiB, 47 %
2026/07/15 20:56:23.843, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:56:24.843, 0, 27415 MiB, 13026 MiB, 63 %
2026/07/15 20:56:24.843, 1, 27535 MiB, 12906 MiB, 95 %
2026/07/15 20:56:25.844, 0, 27415 MiB, 13026 MiB, 96 %
2026/07/15 20:56:25.844, 1, 27535 MiB, 12906 MiB, 96 %
2026/07/15 20:56:26.844, 0, 27415 MiB, 13026 MiB, 88 %
2026/07/15 20:56:26.844, 1, 27535 MiB, 12906 MiB, 91 %
2026/07/15 20:56:27.844, 0, 27415 MiB, 13026 MiB, 86 %
2026/07/15 20:56:27.844, 1, 27535 MiB, 12906 MiB, 93 %
2026/07/15 20:56:28.845, 0, 27415 MiB, 13026 MiB, 65 %
2026/07/15 20:56:28.845, 1, 27535 MiB, 12906 MiB, 95 %
