2026/07/15 20:48:56.675, 0, 805 MiB, 39636 MiB, 17 %
2026/07/15 20:48:56.678, 1, 805 MiB, 39636 MiB, 11 %
2026/07/15 20:48:57.682, 0, 805 MiB, 39636 MiB, 0 %
2026/07/15 20:48:57.682, 1, 29127 MiB, 11314 MiB, 68 %
2026/07/15 20:48:58.682, 0, 22059 MiB, 18382 MiB, 15 %
2026/07/15 20:48:58.682, 1, 29157 MiB, 11284 MiB, 100 %
2026/07/15 20:48:59.683, 0, 10561 MiB, 29880 MiB, 96 %
2026/07/15 20:48:59.747, 1, 30879 MiB, 9562 MiB, 100 %
2026/07/15 20:49:00.747, 0, 27955 MiB, 12486 MiB, 100 %
2026/07/15 20:49:00.747, 1, 30879 MiB, 9562 MiB, 100 %
2026/07/15 20:49:01.748, 0, 24613 MiB, 15828 MiB, 100 %
2026/07/15 20:49:01.748, 1, 37499 MiB, 2942 MiB, 100 %
2026/07/15 20:49:02.748, 0, 26949 MiB, 13492 MiB, 97 %
2026/07/15 20:49:02.748, 1, 37499 MiB, 2942 MiB, 95 %
2026/07/15 20:49:03.748, 0, 29207 MiB, 11234 MiB, 97 %
2026/07/15 20:49:03.748, 1, 37499 MiB, 2942 MiB, 98 %
2026/07/15 20:49:04.749, 0, 29207 MiB, 11234 MiB, 95 %
2026/07/15 20:49:04.784, 1, 28813 MiB, 11628 MiB, 100 %
2026/07/15 20:49:05.784, 0, 31927 MiB, 8514 MiB, 100 %
2026/07/15 20:49:05.784, 1, 33037 MiB, 7404 MiB, 100 %
2026/07/15 20:49:06.785, 0, 33287 MiB, 7154 MiB, 96 %
2026/07/15 20:49:06.785, 1, 33037 MiB, 7404 MiB, 96 %
2026/07/15 20:49:07.785, 0, 33287 MiB, 7154 MiB, 96 %
2026/07/15 20:49:07.785, 1, 37389 MiB, 3052 MiB, 96 %
2026/07/15 20:49:08.785, 0, 33287 MiB, 7154 MiB, 97 %
2026/07/15 20:49:08.785, 1, 37389 MiB, 3052 MiB, 96 %
2026/07/15 20:49:09.785, 0, 33287 MiB, 7154 MiB, 90 %
2026/07/15 20:49:09.786, 1, 37389 MiB, 3052 MiB, 91 %
2026/07/15 20:49:10.786, 0, 33287 MiB, 7154 MiB, 92 %
2026/07/15 20:49:10.786, 1, 37389 MiB, 3052 MiB, 89 %
2026/07/15 20:49:11.786, 0, 33287 MiB, 7154 MiB, 89 %
2026/07/15 20:49:11.786, 1, 37389 MiB, 3052 MiB, 90 %
2026/07/15 20:49:12.787, 0, 37607 MiB, 2834 MiB, 100 %
2026/07/15 20:49:12.787, 1, 37389 MiB, 3052 MiB, 100 %
2026/07/15 20:49:13.787, 0, 37607 MiB, 2834 MiB, 100 %
2026/07/15 20:49:13.787, 1, 37389 MiB, 3052 MiB, 100 %
2026/07/15 20:49:14.787, 0, 37607 MiB, 2834 MiB, 95 %
2026/07/15 20:49:14.787, 1, 37389 MiB, 3052 MiB, 100 %
2026/07/15 20:49:15.788, 0, 37607 MiB, 2834 MiB, 98 %
2026/07/15 20:49:15.788, 1, 37389 MiB, 3052 MiB, 96 %
2026/07/15 20:49:16.788, 0, 37607 MiB, 2834 MiB, 93 %
2026/07/15 20:49:16.788, 1, 37389 MiB, 3052 MiB, 96 %
2026/07/15 20:49:17.788, 0, 37607 MiB, 2834 MiB, 90 %
2026/07/15 20:49:17.788, 1, 37389 MiB, 3052 MiB, 91 %
2026/07/15 20:49:18.789, 0, 37607 MiB, 2834 MiB, 91 %
2026/07/15 20:49:18.789, 1, 37389 MiB, 3052 MiB, 90 %
2026/07/15 20:49:19.789, 0, 37607 MiB, 2834 MiB, 100 %
2026/07/15 20:49:19.789, 1, 37389 MiB, 3052 MiB, 93 %
2026/07/15 20:49:20.789, 0, 37609 MiB, 2832 MiB, 96 %
2026/07/15 20:49:20.789, 1, 38745 MiB, 1696 MiB, 92 %
2026/07/15 20:49:21.790, 0, 37609 MiB, 2832 MiB, 96 %
2026/07/15 20:49:21.790, 1, 38745 MiB, 1696 MiB, 97 %
2026/07/15 20:49:22.790, 0, 37609 MiB, 2832 MiB, 90 %
2026/07/15 20:49:22.790, 1, 38745 MiB, 1696 MiB, 89 %
2026/07/15 20:49:23.790, 0, 37609 MiB, 2832 MiB, 90 %
2026/07/15 20:49:23.790, 1, 40113 MiB, 328 MiB, 92 %
2026/07/15 20:49:24.791, 0, 37609 MiB, 2832 MiB, 88 %
2026/07/15 20:49:24.791, 1, 40113 MiB, 328 MiB, 89 %
2026/07/15 20:49:25.791, 0, 37609 MiB, 2832 MiB, 100 %
2026/07/15 20:49:25.791, 1, 40113 MiB, 328 MiB, 100 %
2026/07/15 20:49:26.791, 0, 37609 MiB, 2832 MiB, 95 %
2026/07/15 20:49:26.791, 1, 40113 MiB, 328 MiB, 100 %
2026/07/15 20:49:27.792, 0, 37609 MiB, 2832 MiB, 97 %
2026/07/15 20:49:27.792, 1, 40113 MiB, 328 MiB, 97 %
2026/07/15 20:49:28.792, 0, 37609 MiB, 2832 MiB, 94 %
2026/07/15 20:49:28.792, 1, 40113 MiB, 328 MiB, 97 %
2026/07/15 20:49:29.792, 0, 37609 MiB, 2832 MiB, 93 %
2026/07/15 20:49:29.792, 1, 40113 MiB, 328 MiB, 94 %
2026/07/15 20:49:30.793, 0, 29287 MiB, 11154 MiB, 92 %
2026/07/15 20:49:30.793, 1, 40113 MiB, 328 MiB, 92 %
2026/07/15 20:49:31.793, 0, 29287 MiB, 11154 MiB, 100 %
2026/07/15 20:49:31.793, 1, 40113 MiB, 328 MiB, 99 %
2026/07/15 20:49:32.793, 0, 33667 MiB, 6774 MiB, 95 %
2026/07/15 20:49:32.793, 1, 40113 MiB, 328 MiB, 100 %
2026/07/15 20:49:33.794, 0, 33667 MiB, 6774 MiB, 96 %
2026/07/15 20:49:33.794, 1, 40113 MiB, 328 MiB, 97 %
2026/07/15 20:49:34.794, 0, 33667 MiB, 6774 MiB, 97 %
2026/07/15 20:49:34.794, 1, 40113 MiB, 328 MiB, 97 %
2026/07/15 20:49:35.794, 0, 33667 MiB, 6774 MiB, 91 %
2026/07/15 20:49:35.794, 1, 40113 MiB, 328 MiB, 94 %
2026/07/15 20:49:36.795, 0, 33667 MiB, 6774 MiB, 100 %
2026/07/15 20:49:36.795, 1, 28589 MiB, 11852 MiB, 100 %
2026/07/15 20:49:37.795, 0, 33667 MiB, 6774 MiB, 97 %
2026/07/15 20:49:37.795, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:49:38.795, 0, 33667 MiB, 6774 MiB, 94 %
2026/07/15 20:49:38.796, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:49:39.796, 0, 33667 MiB, 6774 MiB, 93 %
2026/07/15 20:49:39.796, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:49:40.796, 0, 33667 MiB, 6774 MiB, 90 %
2026/07/15 20:49:40.796, 1, 28591 MiB, 11850 MiB, 90 %
2026/07/15 20:49:41.796, 0, 33667 MiB, 6774 MiB, 89 %
