2026/07/15 20:58:21.905, 0, 805 MiB, 39636 MiB, 0 %
2026/07/15 20:58:21.909, 1, 805 MiB, 39636 MiB, 20 %
2026/07/15 20:58:22.913, 0, 805 MiB, 39636 MiB, 0 %
2026/07/15 20:58:22.913, 1, 12359 MiB, 28082 MiB, 71 %
2026/07/15 20:58:23.914, 0, 10423 MiB, 30018 MiB, 53 %
2026/07/15 20:58:23.914, 1, 12387 MiB, 28054 MiB, 100 %
2026/07/15 20:58:24.914, 0, 15121 MiB, 25320 MiB, 89 %
2026/07/15 20:58:24.914, 1, 15071 MiB, 25370 MiB, 94 %
2026/07/15 20:58:25.914, 0, 16551 MiB, 23890 MiB, 81 %
2026/07/15 20:58:25.914, 1, 15071 MiB, 25370 MiB, 100 %
2026/07/15 20:58:26.915, 0, 16551 MiB, 23890 MiB, 100 %
2026/07/15 20:58:26.915, 1, 15071 MiB, 25370 MiB, 95 %
2026/07/15 20:58:27.915, 0, 16551 MiB, 23890 MiB, 97 %
2026/07/15 20:58:27.915, 1, 15071 MiB, 25370 MiB, 98 %
2026/07/15 20:58:28.915, 0, 16551 MiB, 23890 MiB, 95 %
2026/07/15 20:58:28.915, 1, 17869 MiB, 22572 MiB, 74 %
2026/07/15 20:58:29.916, 0, 16551 MiB, 23890 MiB, 75 %
2026/07/15 20:58:29.916, 1, 17869 MiB, 22572 MiB, 95 %
2026/07/15 20:58:30.916, 0, 16551 MiB, 23890 MiB, 65 %
2026/07/15 20:58:30.916, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 20:58:31.916, 0, 16551 MiB, 23890 MiB, 84 %
2026/07/15 20:58:31.916, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:58:32.917, 0, 16551 MiB, 23890 MiB, 100 %
2026/07/15 20:58:32.917, 1, 19319 MiB, 21122 MiB, 100 %
2026/07/15 20:58:33.917, 0, 16551 MiB, 23890 MiB, 94 %
2026/07/15 20:58:33.917, 1, 19319 MiB, 21122 MiB, 96 %
2026/07/15 20:58:34.917, 0, 17991 MiB, 22450 MiB, 95 %
2026/07/15 20:58:34.917, 1, 19319 MiB, 21122 MiB, 79 %
2026/07/15 20:58:35.918, 0, 17991 MiB, 22450 MiB, 87 %
2026/07/15 20:58:35.918, 1, 19319 MiB, 21122 MiB, 95 %
2026/07/15 20:58:36.918, 0, 17991 MiB, 22450 MiB, 68 %
