2026/07/15 20:52:21.805, 0, 805 MiB, 39636 MiB, 18 %
2026/07/15 20:52:21.809, 1, 805 MiB, 39636 MiB, 3 %
2026/07/15 20:52:22.813, 0, 805 MiB, 39636 MiB, 0 %
2026/07/15 20:52:22.813, 1, 25785 MiB, 14656 MiB, 3 %
2026/07/15 20:52:23.813, 0, 20019 MiB, 20422 MiB, 80 %
2026/07/15 20:52:23.814, 1, 25815 MiB, 14626 MiB, 100 %
2026/07/15 20:52:24.814, 0, 31991 MiB, 8450 MiB, 93 %
2026/07/15 20:52:24.814, 1, 37093 MiB, 3348 MiB, 100 %
2026/07/15 20:52:25.814, 0, 36281 MiB, 4160 MiB, 100 %
2026/07/15 20:52:25.814, 1, 37093 MiB, 3348 MiB, 99 %
2026/07/15 20:52:26.814, 0, 37711 MiB, 2730 MiB, 93 %
2026/07/15 20:52:26.815, 1, 38459 MiB, 1982 MiB, 97 %
2026/07/15 20:52:27.815, 0, 37711 MiB, 2730 MiB, 91 %
2026/07/15 20:52:27.815, 1, 38459 MiB, 1982 MiB, 97 %
2026/07/15 20:52:28.815, 0, 37711 MiB, 2730 MiB, 100 %
2026/07/15 20:52:28.815, 1, 38461 MiB, 1980 MiB, 89 %
2026/07/15 20:52:29.816, 0, 37711 MiB, 2730 MiB, 94 %
2026/07/15 20:52:29.816, 1, 26457 MiB, 13984 MiB, 100 %
2026/07/15 20:52:30.817, 0, 37711 MiB, 2730 MiB, 99 %
2026/07/15 20:52:30.817, 1, 30675 MiB, 9766 MiB, 88 %
2026/07/15 20:52:31.817, 0, 37711 MiB, 2730 MiB, 97 %
2026/07/15 20:52:31.817, 1, 30675 MiB, 9766 MiB, 92 %
2026/07/15 20:52:32.817, 0, 37711 MiB, 2730 MiB, 96 %
2026/07/15 20:52:32.817, 1, 35025 MiB, 5416 MiB, 100 %
2026/07/15 20:52:33.818, 0, 37711 MiB, 2730 MiB, 91 %
2026/07/15 20:52:33.818, 1, 35025 MiB, 5416 MiB, 96 %
2026/07/15 20:52:34.818, 0, 37711 MiB, 2730 MiB, 97 %
2026/07/15 20:52:34.818, 1, 35025 MiB, 5416 MiB, 100 %
2026/07/15 20:52:35.818, 0, 37711 MiB, 2730 MiB, 100 %
2026/07/15 20:52:35.819, 1, 35025 MiB, 5416 MiB, 97 %
2026/07/15 20:52:36.819, 0, 37711 MiB, 2730 MiB, 95 %
2026/07/15 20:52:36.819, 1, 35025 MiB, 5416 MiB, 96 %
2026/07/15 20:52:37.819, 0, 15237 MiB, 25204 MiB, 95 %
2026/07/15 20:52:37.834, 1, 35025 MiB, 5416 MiB, 92 %
2026/07/15 20:52:38.835, 0, 29545 MiB, 10896 MiB, 98 %
2026/07/15 20:52:38.835, 1, 35025 MiB, 5416 MiB, 97 %
2026/07/15 20:52:39.835, 0, 29545 MiB, 10896 MiB, 92 %
2026/07/15 20:52:39.836, 1, 35025 MiB, 5416 MiB, 88 %
2026/07/15 20:52:40.836, 0, 33741 MiB, 6700 MiB, 100 %
2026/07/15 20:52:40.836, 1, 35025 MiB, 5416 MiB, 100 %
2026/07/15 20:52:41.836, 0, 33741 MiB, 6700 MiB, 98 %
2026/07/15 20:52:41.837, 1, 35025 MiB, 5416 MiB, 96 %
2026/07/15 20:52:42.837, 0, 33741 MiB, 6700 MiB, 99 %
2026/07/15 20:52:42.837, 1, 35025 MiB, 5416 MiB, 92 %
2026/07/15 20:52:43.837, 0, 33741 MiB, 6700 MiB, 95 %
2026/07/15 20:52:43.838, 1, 35025 MiB, 5416 MiB, 86 %
2026/07/15 20:52:44.838, 0, 33741 MiB, 6700 MiB, 95 %
2026/07/15 20:52:44.838, 1, 35025 MiB, 5416 MiB, 100 %
2026/07/15 20:52:45.838, 0, 33741 MiB, 6700 MiB, 100 %
2026/07/15 20:52:45.839, 1, 35025 MiB, 5416 MiB, 96 %
2026/07/15 20:52:46.839, 0, 35111 MiB, 5330 MiB, 98 %
2026/07/15 20:52:46.839, 1, 35025 MiB, 5416 MiB, 99 %
2026/07/15 20:52:47.839, 0, 35111 MiB, 5330 MiB, 91 %
2026/07/15 20:52:47.839, 1, 35025 MiB, 5416 MiB, 94 %
2026/07/15 20:52:48.839, 0, 35111 MiB, 5330 MiB, 100 %
2026/07/15 20:52:48.840, 1, 35025 MiB, 5416 MiB, 100 %
2026/07/15 20:52:49.840, 0, 35111 MiB, 5330 MiB, 92 %
2026/07/15 20:52:49.841, 1, 36435 MiB, 4006 MiB, 94 %
2026/07/15 20:52:50.841, 0, 36525 MiB, 3916 MiB, 100 %
2026/07/15 20:52:50.841, 1, 36435 MiB, 4006 MiB, 90 %
2026/07/15 20:52:51.841, 0, 36525 MiB, 3916 MiB, 96 %
2026/07/15 20:52:51.841, 1, 36435 MiB, 4006 MiB, 100 %
2026/07/15 20:52:52.841, 0, 36525 MiB, 3916 MiB, 96 %
2026/07/15 20:52:52.842, 1, 36435 MiB, 4006 MiB, 96 %
2026/07/15 20:52:53.842, 0, 36525 MiB, 3916 MiB, 99 %
2026/07/15 20:52:53.842, 1, 36435 MiB, 4006 MiB, 91 %
2026/07/15 20:52:54.842, 0, 36525 MiB, 3916 MiB, 97 %
2026/07/15 20:52:54.842, 1, 36435 MiB, 4006 MiB, 97 %
2026/07/15 20:52:55.843, 0, 36525 MiB, 3916 MiB, 96 %
2026/07/15 20:52:55.843, 1, 36435 MiB, 4006 MiB, 97 %
2026/07/15 20:52:56.843, 0, 36525 MiB, 3916 MiB, 89 %
2026/07/15 20:52:56.843, 1, 36435 MiB, 4006 MiB, 86 %
2026/07/15 20:52:57.843, 0, 19661 MiB, 20780 MiB, 90 %
2026/07/15 20:52:57.844, 1, 36435 MiB, 4006 MiB, 90 %
2026/07/15 20:52:58.844, 0, 26983 MiB, 13458 MiB, 95 %
2026/07/15 20:52:58.844, 1, 36435 MiB, 4006 MiB, 97 %
2026/07/15 20:52:59.844, 0, 33799 MiB, 6642 MiB, 90 %
2026/07/15 20:52:59.844, 1, 36435 MiB, 4006 MiB, 88 %
2026/07/15 20:53:00.844, 0, 35259 MiB, 5182 MiB, 100 %
2026/07/15 20:53:00.845, 1, 36435 MiB, 4006 MiB, 100 %
2026/07/15 20:53:01.845, 0, 35259 MiB, 5182 MiB, 97 %
2026/07/15 20:53:01.845, 1, 36435 MiB, 4006 MiB, 97 %
2026/07/15 20:53:02.845, 0, 35259 MiB, 5182 MiB, 94 %
2026/07/15 20:53:02.845, 1, 36435 MiB, 4006 MiB, 88 %
2026/07/15 20:53:03.846, 0, 35259 MiB, 5182 MiB, 100 %
2026/07/15 20:53:03.846, 1, 36435 MiB, 4006 MiB, 100 %
2026/07/15 20:53:04.846, 0, 35259 MiB, 5182 MiB, 95 %
2026/07/15 20:53:04.846, 1, 37849 MiB, 2592 MiB, 96 %
2026/07/15 20:53:05.846, 0, 35259 MiB, 5182 MiB, 90 %
2026/07/15 20:53:05.846, 1, 37849 MiB, 2592 MiB, 87 %
2026/07/15 20:53:06.846, 0, 35259 MiB, 5182 MiB, 100 %
2026/07/15 20:53:06.847, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:53:07.847, 0, 35259 MiB, 5182 MiB, 96 %
2026/07/15 20:53:07.847, 1, 37849 MiB, 2592 MiB, 94 %
2026/07/15 20:53:08.847, 0, 35259 MiB, 5182 MiB, 97 %
2026/07/15 20:53:08.847, 1, 37849 MiB, 2592 MiB, 95 %
2026/07/15 20:53:09.847, 0, 35259 MiB, 5182 MiB, 91 %
2026/07/15 20:53:09.848, 1, 37849 MiB, 2592 MiB, 93 %
2026/07/15 20:53:10.848, 0, 35259 MiB, 5182 MiB, 100 %
2026/07/15 20:53:10.848, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:53:11.848, 0, 35259 MiB, 5182 MiB, 96 %
