uniprot_id	database	sequence_length
E9P8D2	AF	229
P00738	AF	406
P07602	AF	524
P09466	AF	180
P01591	AF	159
P09668	AF	335
Q9NYP8	AF	219
P01101	AF	380
Q9ESY9	AF	248
Q96QR1	AF	104
O35685	AF	332
P21614	AF	476
P51807	AF	113
P11260	AF	357
Q9U6Y8	AF	225
Q920H1	AF	91
P19338	AF	710
P61279	AF	116
Q08380	AF	585
P10619	AF	480
Q9BYZ8	AF	158
Q9BPZ3	AF	127
Q92688	AF	251
G2XKQ0	AF	101
P04155	AF	84
P52759	AF	137
Q387Y5	AF	751
Q38CE9	AF	796
Q383Q5	AF	209
Q381X9	AF	586
Q381V6	AF	685
Q381V6	AF	819
Q381V1	AF	250
Q381F9	AF	777
Q386M3	AF	862
Q384Y1	AF	929
Q582T2	AF	253
Q580W5	AF	605
Q580W5	AF	938
Q580W5	AF	805
Q580W5	AF	938
Q587E3	AF	735
Q586F4	AF	263
Q57UZ7	AF	550
Q57YS8	AF	650
A0A060KY90	AF	630
A0A060S684	AF	585
A0A067NN74	AF	111
A0A0A7HFE1	AF	758
A0A0C1EFC5	AF	649
A0A0D2Y5A7	AF	457
A0A0F6B5X4	AF	175
A0A0H2VFI8	AF	555
A0A0K0PVW1	AF	472
A0A0P0XB70-2	AF	163
A0A172J1R7	AF	541
A0A178VEK7	AF	300
A0A182BSS0	AF	149
A0A194VNL2	AF	532
A0A1B0GR13	AF	642
A0A1B1J8Z2	AF	397
A0A1B2CTB4	AF	574
A0A1D8PKB4	AF	495
A0A1D8PPK1	AF	407
A0A1S3X835	AF	337
A0A1U8QYA8	AF	611
A0A2I4E5L6	AF	502
A0A2R6QE26	AF	689
A0A2R8Q1W5-3	AF	593
A0A2R8Q1W5	AF	587
A0A384JAD8	AF	523
A0A3L6DPG1	AF	361
A0A423VUD1	AF	578
A0A443HK11	AF	571
A0A5B8X7H4	AF	263
A0A5K7RLP0	AF	589
A0A6N3IN21	AF	329
A0A7G6KN55	AF	61
A0A8B0RBM2	AF	555
A0A8D0I1K1	AF	554
A0AI95	AF	305
A0AIS5	AF	191
A0AJ40	AF	343
A0AJY7	AF	89
A0AK49	AF	436
A0ALW9	AF	102
A0AYH4	AF	445
A0JMQ0	AF	777
A0JN62-2	AF	936
A0JN62	AF	987
A0JUT1	AF	603
A0JXT8	AF	119
A0JYZ6	AF	97
A0K3N7	AF	179
A0K6X6	AF	132
A0KB03	AF	406
A0KEG8	AF	496
A0KFU8	AF	877
A0KMD1	AF	268
A0KQ96	AF	701
A0KR50	AF	716
A0KR60	AF	318
A0KSX4	AF	124
A0L5Z1	AF	59
A0L7X0	AF	487
A0L900	AF	547
A0LCZ4	AF	86
A0LJ00	AF	418
A0LV54	AF	275
A0LXZ7	AF	871
A0LY87	AF	150
A0M572	AF	181
A0M5D4	AF	949
A0PPL7	AF	160
A0PQ31	AF	414
A0PQC4	AF	945
A0PRV0	AF	310
A0PTH3	AF	320
A0PU04	AF	423
A0PXA4	AF	417
A0PXB6	AF	324
A0PXV7	AF	105
A0PYB2	AF	621
A0PYZ1	AF	665
A0Q2N3	AF	287
A0Q593	AF	640
A0Q7N3	AF	565
A0Q7Y1	AF	163
A0QEW1	AF	998
A0QF47	AF	520
A0QSG3	AF	132
A0QSH5	AF	304
A0QTK2	AF	228
A0QU58	AF	368
A0QUA1	AF	526
A0QV42	AF	113
A0QYC2	AF	260
A0R4M9	AF	503
A0R8L3	AF	130
A0REB7	AF	298
A0RLG5	AF	74
A0RPK6	AF	63
A0RQC0	AF	189
A0SVK0	AF	291
A0T0K7	AF	107
A0ZZ72	AF	135
A0ZZM2	AF	213
A0ZZS8	AF	229
A1A1N2	AF	264
A1A1U9	AF	427
A1A2C2	AF	127
A1A2H6	AF	391
A1A2L6	AF	258
A1A4J7-2	AF	954
A1A4R1	AF	129
A1A8R7	AF	860
A1AJP2	AF	343
A1ALW6	AF	208
A1ATI1	AF	245
A1ATL4	AF	479
A1AXP2	AF	51
A1AXS9	AF	401
