protein_id,n_verts,n_violations,violation_frac,n_violations_in_query,max_abs_esp_overall,max_abs_esp_violation,max_abs_esp_clean,max_penetration_A
AF-P42089-F1,22726,34,0.0014960837806917188,3,52.74891662597656,18.37763023376465,52.74891662597656,1.2861386538762325
AF-O29026-F1,35596,53,0.0014889313406000674,7,49.36284255981445,45.04550552368164,49.36284255981445,1.6841783785669335
AF-Q2YWY1-F1,39172,56,0.0014295925661186562,7,118.43465423583984,118.43465423583984,21.359153747558594,1.4411725181511112
AF-O23179-2-F1,46225,54,0.0011681990265008113,9,115.16690826416016,115.16690826416016,16.530929565429688,1.6475447526037752
AF-Q96DR4-2-F1,25524,28,0.001097006738755681,5,78.17955017089844,78.17955017089844,13.513080596923828,0.9610427960675423
AF-P0CG36-F1,48796,40,0.0008197393228953193,5,15.91033935546875,15.91033935546875,14.991741180419922,1.5118908160412086
AF-A0A8M1PIL7-F1,64449,49,0.000760291082871728,7,35.96104049682617,27.313074111938477,35.96104049682617,1.4372714104810353
AF-Q9LDE1-F1,67706,47,0.0006941777685877175,10,17.464780807495117,17.464780807495117,12.40216064453125,1.3565802945280678
AF-Q9DC48-F1,86797,46,0.0005299722340633893,9,36.5039176940918,36.5039176940918,16.092987060546875,1.6281177132556506
AF-Q556N5-F1,49727,26,0.0005228547871377723,5,12.092291831970215,11.623790740966797,12.092291831970215,1.337583087343431
AF-Q1PF20-F1,43326,22,0.000507778239394359,4,28.021032333374023,18.31366729736328,28.021032333374023,0.8013719726153892
AF-Q86TI2-2-F1,106996,52,0.00048599947661594824,10,39.13117218017578,36.38254165649414,39.13117218017578,1.3545450023727619
AF-Q6ZWJ1-2-F1,52131,24,0.00046037866144904186,3,27.60975456237793,27.60975456237793,18.481721878051758,0.8400226436421867
AF-O35685-F1,62320,28,0.0004492939666238768,5,19.486658096313477,19.486658096313477,11.819321632385254,1.0674747430247513
AF-Q149C2-F1,132865,59,0.0004440597599066722,7,107.58283996582031,107.58283996582031,12.503218650817871,1.3737328072478712
AF-A7M6E8-F1,89449,39,0.00043600263837493994,4,24.935209274291992,24.633522033691406,24.935209274291992,0.9359149418353041
AF-Q9Y2G2-F1,87339,38,0.000435086273028086,6,31.202131271362305,21.89999008178711,31.202131271362305,1.6736942339846146
AF-Q9SX62-F1,108403,45,0.00041511766279531007,5,37.10264587402344,37.10264587402344,28.824840545654297,1.4162747556408808
AF-P05524-F1,43018,13,0.0003021990794551118,3,24.8381290435791,24.8381290435791,19.268831253051758,1.1892854179492616
AF-P70473-F1,50076,14,0.0002795750459301861,2,13.83370590209961,12.370661735534668,13.83370590209961,0.6913627174713326
AF-P0DJ29-F1,90326,23,0.0002546332174567677,5,54.262699127197266,54.262699127197266,16.307340621948242,1.2057449682869104
AF-P06608-F1,40130,10,0.00024919013207077,2,17.42463493347168,5.9445929527282715,17.42463493347168,0.6551673529540734
AF-Q9Y091-2-F1,90956,22,0.00024187519240072123,3,25.058835983276367,25.058835983276367,23.470684051513672,1.1076543460560482
