uniprot_id	database	sequence_length
A0A0F6B8D8	AF	161
A0ZZH6	AF	504
D2Z027	AF	324
G1UB44	AF	732
I0AIT9	AF	716
J7GQ11	AF	626
K5BDL0	AF	446
L0E155	AF	667
O15992	AF	715
P04397	AF	699
P09373	AF	760
P09890	AF	445
P0A953	AF	406
P0A955	AF	213
P0A9Q9	AF	367
P0AEP7	AF	593
P0C0L2	AF	143
P10943	AF	148
P22069	AF	104
P25373	AF	110
P31434	AF	772
P32138	AF	678
P45550	AF	387
P45859	AF	472
P54965	AF	329
P69348	AF	84
P69795	AF	106
P9WIE3	AF	153
Q01532-2	AF	454
Q09LX1	AF	219
Q16836	AF	314
Q1EMV2	AF	139
Q57912	AF	158
Q652L6	AF	435
Q76IQ9	AF	801
Q7CTU0	AF	328
Q8EJW4	AF	397
Q8NTR2	AF	432
Q975F9	AF	401
Q9BV86	AF	223
Q9DC50	AF	612
A0A0F6B8D8	PDB	161
A0ZZH6	PDB	504
D2Z027	PDB	324
G1UB44	PDB	732
I0AIT9	PDB	716
J7GQ11	PDB	626
K5BDL0	PDB	446
L0E155	PDB	667
O15992	PDB	715
P04397	PDB	699
P09373	PDB	760
P09890	PDB	445
P0A953	PDB	406
P0A955	PDB	213
P0A9Q9	PDB	367
P0AEP7	PDB	593
P0C0L2	PDB	143
P10943	PDB	148
P22069	PDB	104
P25373	PDB	110
P31434	PDB	772
P32138	PDB	678
P45550	PDB	387
P45859	PDB	472
P54965	PDB	329
P69348	PDB	84
P69795	PDB	106
P9WIE3	PDB	153
Q01532	PDB	454
Q09LX1	PDB	219
Q16836	PDB	314
Q1EMV2	PDB	139
Q57912	PDB	158
Q652L6	PDB	435
Q76IQ9	PDB	801
Q7CTU0	PDB	328
Q8EJW4	PDB	397
Q8NTR2	PDB	432
Q975F9	PDB	401
Q9BV86	PDB	223
Q9DC50	PDB	612
