protein_id,n_verts,n_violations,violation_frac,n_violations_in_query,max_abs_esp_overall,max_abs_esp_violation,max_abs_esp_clean,max_penetration_A
AF-P06608-F1,40130,39,0.000971841515076003,2,66.03289031982422,66.03289031982422,16.947490692138672,1.4322942219250587
AF-P05524-F1,43018,38,0.0008833511553303268,3,73.95073699951172,73.95073699951172,19.117698669433594,1.4299620031094546
AF-Q96DR4-2-F1,25524,21,0.0008227550540667607,1,61.727500915527344,61.727500915527344,16.382450103759766,1.4930545811222622
AF-O29026-F1,35596,28,0.0007866052365434319,0,128.24679565429688,128.24679565429688,66.7614517211914,1.681905960578907
AF-P70473-F1,50076,37,0.0007388769071012062,1,55.969966888427734,55.969966888427734,13.921222686767578,1.2395197289384596
AF-Q80WJ1-3-F1,32744,23,0.0007024187637429758,0,102.79003143310547,102.79003143310547,47.67155456542969,1.5494950015074804
AF-Q1PF20-F1,43326,25,0.0005770207265844989,0,51.92262649536133,51.92262649536133,21.03876495361328,1.4672950664982678
AF-A7M6E8-F1,89449,49,0.0005477981866762066,2,126.47440338134766,126.47440338134766,24.92828941345215,1.5332140893429695
AF-Q8BG26-2-F1,71801,35,0.00048745839194440187,3,63.262672424316406,63.262672424316406,11.90886402130127,1.3693796160689877
AF-Q556N5-F1,49727,24,0.00048263518812717435,0,77.8978271484375,77.8978271484375,12.353972434997559,1.4721168632218702
AF-Q9VNS0-2-F1,78885,38,0.00048171388730430375,3,55.57623291015625,55.57623291015625,15.050910949707031,1.3090259562220372
AF-O35685-F1,62320,30,0.00048138639281129655,0,102.6072769165039,102.6072769165039,17.344240188598633,1.5332157220411136
AF-Q61823-F1,79573,38,0.00047754891734633605,2,74.8068618774414,74.8068618774414,16.3089656829834,1.175451916286989
AF-Q9LQX5-F1,78514,37,0.000471253534401508,2,76.1948013305664,76.1948013305664,11.540430068969727,1.2600867798956734
AF-Q6ZWJ1-2-F1,52131,24,0.00046037866144904186,0,52.87904739379883,52.87904739379883,25.133493423461914,1.5390863169050184
AF-Q13164-2-F1,125256,57,0.0004550680206936195,5,92.23764038085938,92.23764038085938,13.477524757385254,1.4188090051431899
AF-A0A8M1PIL7-F1,64449,29,0.00044996819190367576,0,101.18356323242188,101.18356323242188,42.13955307006836,1.7596020385773985
AF-Q9H4X1-2-F1,25506,11,0.0004312710734729083,2,68.78453826904297,68.78453826904297,10.741572380065918,1.0907737272882172
AF-Q9USS2-F1,168108,72,0.0004282960953672639,3,83.50870513916016,83.50870513916016,14.558147430419922,1.358980725723036
AF-Q9Y091-2-F1,90956,38,0.0004177844232376094,1,155.04376220703125,155.04376220703125,84.9269790649414,1.5427673704383857
AF-P0DJ29-F1,90326,36,0.0003985563403671147,1,195.47348022460938,195.47348022460938,43.755287170410156,1.5773570311309346
AF-Q8N9N5-2-F1,90075,35,0.00038856508465167917,0,236.4664764404297,236.4664764404297,18.46921730041504,1.6203159886543852
AF-Q9UK96-F1,134079,52,0.00038783105482588623,6,111.91153717041016,111.91153717041016,21.768444061279297,1.5162423140340384
AF-B2D6K9-3-F1,108960,38,0.0003487518355359765,2,90.58243560791016,90.58243560791016,24.6734676361084,1.3966558620593343
AF-Q9DC48-F1,86797,30,0.00034563406569351475,0,107.66693115234375,107.66693115234375,67.37556457519531,1.8123430958482905
AF-A8WJR8-F1,149909,49,0.0003268649647452788,3,160.61968994140625,160.61968994140625,28.522647857666016,1.539944355289083
AF-Q9LDE1-F1,67706,22,0.00032493427465808054,0,171.2342987060547,171.2342987060547,17.719919204711914,1.5828251110401323
AF-O22224-F1,125692,39,0.00031028227731279636,2,76.5411605834961,76.5411605834961,16.177932739257812,1.2412073154750152
AF-Q5R7R9-F1,123914,35,0.00028245396000451924,2,71.38343048095703,71.38343048095703,15.699880599975586,1.3103987994354298
AF-Q86TI2-2-F1,106996,29,0.0002710381696512019,0,162.83853149414062,162.83853149414062,39.14218521118164,1.507073246552694
AF-A7MBH5-F1,133215,36,0.0002702398378560973,2,82.92721557617188,82.92721557617188,10.411041259765625,1.3900455207154676
AF-P42089-F1,22726,6,0.0002640147848279504,0,19.162338256835938,7.475469589233398,19.162338256835938,1.7323112728868468
AF-O02751-F1,111208,29,0.00026077260628731743,1,60.890869140625,60.890869140625,14.485848426818848,1.3871113881898347
AF-Q9BYC8-F1,40742,10,0.00024544695891217907,1,66.66828918457031,66.66828918457031,13.813446044921875,1.0658221925894218
AF-Q99207-F1,152640,36,0.0002358490566037736,1,69.67703247070312,69.67703247070312,15.266947746276855,1.3025770582953897
AF-A7ZHS2-F1,43598,10,0.00022936831964769026,1,148.09703063964844,148.09703063964844,20.54370880126953,1.077902676296782
AF-P0CG36-F1,48796,11,0.0002254283137962128,0,29.212980270385742,29.212980270385742,15.010124206542969,1.6766493679298666
AF-F4JCB3-F1,125863,27,0.00021451896109261657,3,134.74974060058594,134.74974060058594,16.652835845947266,1.4389497970073908
AF-Q9Y7R4-F1,185883,38,0.00020442966812457298,2,53.82688903808594,53.82688903808594,16.37708854675293,1.554647601901197
AF-O43236-5-F1,55497,11,0.0001982089121934519,1,117.58303833007812,117.58303833007812,22.221384048461914,1.0729867648050706
AF-Q9JJ78-F1,47348,9,0.00019008194643913153,1,61.22685241699219,61.22685241699219,20.71920394897461,1.1208816199146407
AF-Q9HCS4-F1,131810,25,0.00018966694484485243,1,114.44577026367188,114.44577026367188,16.77448081970215,1.4983100788976622
AF-Q5EBA1-F1,111433,21,0.00018845404862114455,1,164.3496551513672,164.3496551513672,47.89399719238281,1.140989468868809
AF-B4JYN3-F1,180972,32,0.0001768229339345313,1,124.97402954101562,124.97402954101562,21.64475440979004,1.5133306581038952
AF-Q07916-1-F1,57237,10,0.00017471216171357687,2,64.6477279663086,64.6477279663086,14.466804504394531,1.1456881539106571
AF-P49762-4-F1,451532,74,0.00016388650195334992,1,214.3762969970703,214.3762969970703,62.012577056884766,1.5221400894753399
AF-P85797-F1,50241,8,0.00015923249935311797,1,65.67333984375,65.67333984375,13.516542434692383,1.1358535170063506
AF-A0A0P0WGX7-F1,163608,26,0.0001589164344041856,1,56.082454681396484,56.082454681396484,31.746477127075195,1.6111706145341573
AF-Q9Y2G2-1-F1,60569,9,0.00014859086331291585,1,66.50374603271484,66.50374603271484,20.92315101623535,1.0839348723712674
AF-Q9W0K7-F1,203101,30,0.00014770976016858608,2,88.62835693359375,88.62835693359375,12.971282958984375,1.2361710054602453
AF-Q8NI38-2-F1,74959,10,0.0001334062620899425,1,105.66321563720703,105.66321563720703,14.355021476745605,0.7762531463166988
AF-Q9Y2G2-F1,87339,10,0.00011449638763896999,0,31.275192260742188,25.624401092529297,31.275192260742188,1.7264648044117403
AF-O23179-2-F1,46225,5,0.00010816657652785289,0,114.88993072509766,14.200444221496582,114.88993072509766,1.5769210497704407
AF-Q2YWY1-F1,39172,4,0.00010211375472276115,0,104.65797424316406,58.17366027832031,104.65797424316406,1.919849621155471
AF-Q9NAD6-F1,108632,11,0.00010125929744458354,1,68.46215057373047,68.46215057373047,18.03583335876465,1.123315359848299
AF-Q12083-F1,107569,10,9.296358616329983e-05,1,60.86530303955078,60.86530303955078,29.011837005615234,1.079112775225782
AF-Q9SX62-F1,108403,10,9.224836951006891e-05,0,63.767250061035156,63.767250061035156,32.22836685180664,1.5509766512349572
AF-P54742-F1,110200,10,9.074410163339382e-05,1,111.65575408935547,111.65575408935547,16.093229293823242,1.05758926223352
AF-P95690-F1,107008,9,8.410586124401914e-05,1,49.7221794128418,49.7221794128418,28.028310775756836,1.1784586644137476
AF-Q06078-F1,126057,10,7.93291923494927e-05,1,118.7641830444336,118.7641830444336,16.257434844970703,1.1393403552024344
