uniprot_id	database	sequence_length
A0A011QK89	AF	388
A0A023FT45	AF	132
A0A023PXF5	AF	105
A0A023PYI2	AF	110
A0A023W0V9	AF	167
A0A023W163	AF	131
A0A075TR27	AF	199
A0A0A2JW93	AF	953
A0A0A2K6S6	AF	786
A0A0A6YY25	AF	723
A0A0A7HIF0	AF	220
A0A0A7HIX1	AF	121
A0A0A7LRQ7	AF	642
A0A0B0QJR1	AF	147
A0A0B4J1N3	AF	78
A0A0C1E1C6	AF	285
A0A0C1E5J2	AF	420
A0A0D1DWQ2	AF	290
A0A0D2YG09	AF	542
A0A0E0RTV6	AF	565
A0A0E3D8M5	AF	438
A0A0E3SVE7	AF	68
A0A0F5HNH9	AF	192
A0A0F6B5X3	AF	96
A0A0G2JUG7	AF	962
A0A0G2KIZ8	AF	968
A0A0G3VTN5	AF	770
A0A0H2ZFK2	AF	218
A0A0H2ZGN2	AF	533
A0A0H2ZQL5	AF	264
A0A0H3AL67	AF	456
A0A0H3JT80	AF	433
A0A0H3JU78	AF	273
A0A0H3K9F2	AF	154
A0A0H3MDW1	AF	227
A0A0H3PJK4	AF	609
A0A0J9X1Q5	AF	853
A0A0K2JL70	AF	666
A0A0M3KKZ0	AF	331
A0A0P0UTQ7	AF	96
A0A0P0WGX7	AF	987
A0A0P0XB70	AF	158
A0A0P0XM10	AF	496
A0A0P1AAU8	AF	325
A0A0R4IKJ1	AF	721
A0A0R6Y3I5	AF	263
A0A0S2E7W7	AF	953
A0A0U1RRE5	AF	68
A0A0U2UYC4	AF	493
A0A0W1JK39	AF	626
A0A125YKR8	AF	714
A0A142C7A3	AF	815
A0A142I728	AF	666
A0A172J1V3	AF	341
A0A178VBJ0	AF	640
A0A1B0GUV1	AF	79
A0A1D3PCM3	AF	517
A0A1D8PM93	AF	512
A0A1E7MYN1	AF	555
A0A1I9LMX5	AF	243
A0A1J0HSL5	AF	324
A0A1L2FZD4	AF	57
A0A1L8GR68	AF	784
A0A1L8H8C0	AF	956
A0A1R3RGJ2	AF	498
A0A1R3RM75	AF	605
A0A1R3S3A8	AF	98
A0A1S3PBB7	AF	375
A0A1S3WYR7	AF	730
A0A1S3X835-2	AF	321
A0A1S4GMU2	AF	539
A0A1U9YHZ1	AF	327
A0A1U9YHZ6	AF	428
A0A1X7S1V5	AF	98
A0A286ZK88	AF	182
A0A2H3D1U1	AF	636
A0A2I8B346	AF	62
A0A2J6RX17	AF	990
A0A2K3DDJ2	AF	819
A0A2P1BT06	AF	707
A0A2P1GIW3	AF	320
A0A2R4SV19	AF	87
A0A2R8Y7D0	AF	120
A0A2Z5CVK5	AF	433
A0A2Z5XAU0	AF	386
A0A318FL05	AF	826
A0A348G6I9	AF	68
A0A3B6UES5	AF	846
A0A3G5BIC2	AF	80
A0A3P7XL18	AF	297
A0A3Q7ELQ2	AF	613
A0A437AFK1	AF	790
A0A481WNM8	AF	878
A0A4P8DJZ3	AF	446
A0A509AJA5	AF	354
A0A5B8NIM2	AF	262
A0A5C2A2T2	AF	178
A0A5K7RLP0-2	AF	566
A0A6G9KIT6	AF	57
A0A6G9KJK9	AF	82
A0A6I8TMQ9	AF	96
A0A7L8Y648	AF	51
